City_ID,City,Country,Max Temp,WeatherDesc,Lat,Lng,HotelName
136,Vero Beach,US,63.03,broken clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
137,Korla,CN,48.63,overcast clouds,41.7597,86.1469,Gulisitan Hotel
138,Bargi,IN,67.51,clear sky,22.9833,79.8667,Kartik Kiran Bekry
139,Toucheng,TW,78.1,clear sky,24.8592,121.8233,和風時尚VILLA會館
140,Fare,PF,81.61,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
141,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
142,Katsuura,JP,60.53,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
143,Lebu,CL,58.01,few clouds,-37.6167,-73.65,Hostal Las Lilas
144,Shingu,JP,65.43,overcast clouds,33.7333,135.9833,Shingu UI Hotel
146,North Bend,US,52.25,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
147,Tura,IN,70.38,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
148,Aswan,EG,52.75,clear sky,24.0934,32.907,Nuba Nile
151,Mar Del Plata,AR,65.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
152,Hasaki,JP,57.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
153,Saint Pete Beach,US,58.15,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
155,Grand Gaube,MU,79.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
157,Mangrol,IN,77.45,clear sky,21.1167,70.1167,Hotel The Royal Honours
160,Port Elizabeth,ZA,73.71,overcast clouds,-33.918,25.5701,39 On Nile Guest House
161,Vao,NC,79.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
162,Atocha,BO,52.81,clear sky,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
163,Newport,GB,47.77,overcast clouds,51.5877,-2.9984,ibis budget Newport
164,Lorengau,PG,84.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
165,Bredasdorp,ZA,65.89,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
167,Muros,ES,48.09,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
168,Cap-Aux-Meules,CA,42.51,overcast clouds,47.3821,-61.8597,Auberge Madeli
170,Alofi,NU,77.9,overcast clouds,-19.0595,-169.9187,Taloa Heights
171,Codrington,AU,76.37,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
172,Victoria,HK,76.24,clear sky,22.2855,114.1577,Mini Hotel Central
173,Pittsburg,US,65.01,broken clouds,38.028,-121.8847,Hampton Inn & Suites Pittsburg
175,Araure,VE,78.98,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
176,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
177,Praia,CV,70.57,clear sky,14.9215,-23.5087,LT Aparthotel
178,Jiayuguan,CN,43.25,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
181,Bengkulu,ID,77.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Matara,LK,75.6,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
184,Dunedin,NZ,63.19,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
